,C++,Android,Back-end,Data Science,Java,Front-end,C#,iOS
2008,0.007516771454498315,0.0017715606797172195,0.005116621509097349,0.0026321433445768098,0.004332720971626606,0.0016688657849736523,0.010717458485508842,0.0015985028656087957
2009,0.03460429089966295,0.01246951209311818,0.02984943149680188,0.016325445796831373,0.023446405970098082,0.013701018475383358,0.05754575389202309,0.022702410138682162
2010,0.06230656112263417,0.041272847110465756,0.05914343416360207,0.03369861804778084,0.050548411335643736,0.03437110330648828,0.0922329114180353,0.06797421296094562
2011,0.09137708225304642,0.09708286353796894,0.09365791147632797,0.054944581325019934,0.08790723720111654,0.07029530485916809,0.12779072798738556,0.13465035903245856
2012,0.11747512639357013,0.13301760854363995,0.12399322729186255,0.08040402630706697,0.12230187051264103,0.10323953838042609,0.13714398523929203,0.15940307270321283
2013,0.13382121791547835,0.13845440949650203,0.13750248042090193,0.11043611485380574,0.131932996391542,0.13148263347439307,0.13505592212663534,0.13054975196831434
2014,0.13031703720508167,0.13286035953146486,0.13446106712807132,0.12436441178009854,0.1352000365702792,0.137872862136204,0.11412467128824635,0.12669453917478724
2015,0.12325499902774177,0.12587448852249497,0.1221739428770657,0.1353896547017879,0.1316458625586053,0.13723544327809037,0.09797951420262564,0.12996493384675012
2016,0.1152044983147524,0.1219951219348989,0.11458246402694247,0.14273400164803984,0.12208187742670945,0.13883805655592968,0.09217596424223556,0.10251517660360569
2017,0.10241828979777029,0.10896352826634637,0.10224990402857445,0.15715383723400217,0.10874229667067606,0.13159770361836323,0.07854281035578065,0.07625798964757255
2018,0.08170412561576355,0.08623770028338279,0.0772695155807523,0.14191716496098988,0.081860284391062,0.09969747013058021,0.05669028076223162,0.04768905105806212
